title,link,link_type,published,summary
International efforts to tackle gang violence in Haiti,http://open.live.bbc.co.uk/mediaselector/6/redir/version/2.0/mediaset/audio-nondrm-download-low/proto/http/vpid/p0hj17cq.mp3,audio/mpeg,"Tue, 12 Mar 2024 00:59:00 +0000","<p>The US says it's trying to help deploy a multinational police force to Haiti which is descending into anarchy. Also: the authors whose work is being used to develop AI without their permission, and the fake pieces of Russian art that have been sold for hundreds of thousands of dollars.</p>"
International efforts to tackle gang violence in Haiti,http://www.bbc.co.uk/programmes/p0hj17xy,text/html,"Tue, 12 Mar 2024 00:59:00 +0000","<p>The US says it's trying to help deploy a multinational police force to Haiti which is descending into anarchy. Also: the authors whose work is being used to develop AI without their permission, and the fake pieces of Russian art that have been sold for hundreds of thousands of dollars.</p>"
Oppenheimer sweeps the board at the Oscars,http://open.live.bbc.co.uk/mediaselector/6/redir/version/2.0/mediaset/audio-nondrm-download-low/proto/http/vpid/p0hhz7wq.mp3,audio/mpeg,"Mon, 11 Mar 2024 16:22:00 +0000","<p>The blockbuster biopic won seven awards, including best picture, best director and best actor.  Also: The start of Ramadan brings no relief for the people of Gaza, and Princess Kate says sorry over the confusion caused by her editing of a family photograph.</p>"
Oppenheimer sweeps the board at the Oscars,http://www.bbc.co.uk/programmes/p0hhzb4v,text/html,"Mon, 11 Mar 2024 16:22:00 +0000","<p>The blockbuster biopic won seven awards, including best picture, best director and best actor.  Also: The start of Ramadan brings no relief for the people of Gaza, and Princess Kate says sorry over the confusion caused by her editing of a family photograph.</p>"
Ukraine criticises Pope's 'white flag' comment,http://open.live.bbc.co.uk/mediaselector/6/redir/version/2.0/mediaset/audio-nondrm-download-low/proto/http/vpid/p0hhtw82.mp3,audio/mpeg,"Mon, 11 Mar 2024 00:46:00 +0000","<p>It has strongly rejected a call by Pope Francis for Kyiv to negotiate an end to its war with Russia and have 'the courage to raise the white flag'. Ukraine's foreign minister says it will never raise any flags other than its own. Also: EU diplomats leave Haiti as gang violence intensifies, and the premier of the Australian island state of Tasmania promises to build the world's largest chocolate fountain if he's re-elected.</p>"
Ukraine criticises Pope's 'white flag' comment,http://www.bbc.co.uk/programmes/p0hhtwm7,text/html,"Mon, 11 Mar 2024 00:46:00 +0000","<p>It has strongly rejected a call by Pope Francis for Kyiv to negotiate an end to its war with Russia and have 'the courage to raise the white flag'. Ukraine's foreign minister says it will never raise any flags other than its own. Also: EU diplomats leave Haiti as gang violence intensifies, and the premier of the Australian island state of Tasmania promises to build the world's largest chocolate fountain if he's re-elected.</p>"
Bonus: The Global Story,http://open.live.bbc.co.uk/mediaselector/6/redir/version/2.0/mediaset/audio-nondrm-download-low/proto/http/vpid/p0hhh0kn.mp3,audio/mpeg,"Sun, 10 Mar 2024 13:00:00 +0000","<p>A bonus episode from The Global Story podcast. Could just 100,000 people decide the US election? The Global Story brings you one big story every weekday, making sense of the news with our experts around the world. Insights you can trust, from the BBC, with Katya Adler. For more, go to bbcworldservice.com/globalstory or search for The Global Story wherever you get your BBC podcasts.</p>"
Bonus: The Global Story,http://www.bbc.co.uk/programmes/p0hhh1ff,text/html,"Sun, 10 Mar 2024 13:00:00 +0000","<p>A bonus episode from The Global Story podcast. Could just 100,000 people decide the US election? The Global Story brings you one big story every weekday, making sense of the news with our experts around the world. Insights you can trust, from the BBC, with Katya Adler. For more, go to bbcworldservice.com/globalstory or search for The Global Story wherever you get your BBC podcasts.</p>"
Nigeria's abductions spate worsens as more kidnapped,http://open.live.bbc.co.uk/mediaselector/6/redir/version/2.0/mediaset/audio-nondrm-download-low/proto/http/vpid/p0hhpvf0.mp3,audio/mpeg,"Sun, 10 Mar 2024 00:28:00 +0000","<p>Fifteen students and four women were taken from a school in the state of Sokoto. The army is still searching for hundreds abducted in Kaduna state on Thursday. Also: Indonesia investigates how two pilots fell asleep at the controls for almost half an hour, and scientists report a breakthrough in the quest to resurrect the woolly mammoth.</p>"
Nigeria's abductions spate worsens as more kidnapped,http://www.bbc.co.uk/programmes/p0hhpwxb,text/html,"Sun, 10 Mar 2024 00:28:00 +0000","<p>Fifteen students and four women were taken from a school in the state of Sokoto. The army is still searching for hundreds abducted in Kaduna state on Thursday. Also: Indonesia investigates how two pilots fell asleep at the controls for almost half an hour, and scientists report a breakthrough in the quest to resurrect the woolly mammoth.</p>"
